,Unnamed: 0,Unnamed: 0.1,make_model,short_description,price,km,hp,Type,First Registration,Body Color,Body,Gearing Type,Displacement,Fuel,CO2 Emission,Emission Class,consumption_comb,consumption_city,consumption_country,door_number,First_Registration
6054,6054,6054,Opel Astra,1.6 CDTI Business+ (Camera/T.haak/NAV.),10490,131600,82.0,Used,2016.0,Grey,Compact,Manual,1.6,DIESEL,90,Euro 6,3.4,3.9,3.2,5,2016
6055,6055,6055,Opel Astra,Sports Tourer Dsl 1.6 CDTi ECOTEC D Dynamic Start/,10499,48378,81.0,Used,2016.0,Silver,Station wagon,Manual,1.598,DIESEL,,,,,,5,2016
6056,6056,6056,Opel Astra,Edition 1.6 CDTI ECOflex + GPS + AIRCO + CRUISE +,10495,78551,82.0,Used,2016.0,Grey,Compact,Manual,1.598,DIESEL,,,,,,5,2016
6057,6057,6057,Opel Astra,"1,6 CDTI ecoflex Edition Start/Stop System",10490,122200,81.0,Used,2016.0,Grey,Sedans,Manual,1.598,DIESEL,97,Euro 6,3.7,3.9,3.5,5,2016
6058,6058,6058,Opel Astra,ST 1.6 CDTI Edition EURO6 LED Navi Klima PDC,10480,100000,81.0,Used,2016.0,Green,Station wagon,Manual,1.598,DIESEL,92,Euro 6,3.5,4.0,3.2,5,2016
6059,6059,6059,Opel Astra,Astra K 1.6 D Edition *AC*Navi*PDC*,10490,96974,81.0,Used,2016.0,White,Station wagon,Manual,1.598,DIESEL,92,Euro 6,3.5,4.0,3.2,5,2016
6060,6060,6060,Opel Astra,J Sports Tourer Style AGR/Sport/Komfortp.,10490,89738,103.0,Used,2016.0,Black,Station wagon,Manual,1.364,BENZINE,133,Euro 6,5.6,7.3,4.6,4,2016
6061,6061,6061,Opel Astra,1.6 Navi*Sportsitze*Sitzh.*Bluetooth*,10480,90000,81.0,Used,2016.0,Silver,Station wagon,Manual,1.598,DIESEL,109,Euro 6,4.1,4.5,3.9,5,2016
6062,6062,6062,Opel Astra,Sports Tourer BUSINESS 1.6 CDTI 110 ch FAP Start/S,10490,74348,81.0,Used,2016.0,Grey,Station wagon,Manual,1.598,DIESEL,94,,3.6,4.0,3.3,5,2016
6063,6063,6063,Opel Astra,J 1.6CDTI SportsTourer Edition Bi-Xenon BT,10480,77709,81.0,Used,2016.0,Blue,Station wagon,Manual,1.598,DIESEL,97,Euro 6,3.7,3.9,3.5,5,2016
